Algorithm,Scenario,Execution duration,Capacity,Wasted capacity,Wasted buffer capacity,Jain's fairness index,Scheduled delay
fcp,mars_earth_xs_scenario,0.0860176170244813,29400000,84600000,0,0.9998611882287618,4922.5093984962405
random,mars_earth_xs_scenario,0.14952758298022673,18000000,22300000,4300000,0.989277472746081,6990.286796536797
alternating,mars_earth_xs_scenario,0.07103638898115605,42900000,44100000,0,0.9345028942825226,3265.7924460106624
lls,mars_earth_xs_scenario,0.08476917701773345,43100000,43300000,200000,0.9998560122869515,3217.4365942028985
fcp,mars_earth_s_scenario,1.1278003960032947,117400000,214000000,96600000,0.9991866172353364,1991.361013324114
random,mars_earth_s_scenario,1.4815163239836693,57400000,106000000,48600000,0.9601186732657023,3984.083086489976
alternating,mars_earth_s_scenario,1.0029832589789294,78200000,172400000,94200000,0.9351452850325205,2333.181072453285
lls,mars_earth_s_scenario,1.301434643974062,171800000,172600000,800000,0.9994323610559426,2451.009401869513
fcp,mars_earth_m_scenario,44.27234943502117,207200000,304800000,97600000,0.9996625576750913,2094.9139487644916
random,mars_earth_m_scenario,55.942065128998365,85800000,120400000,34600000,0.7099946711804902,8808.287045812067
alternating,mars_earth_m_scenario,44.70722962502623,133800000,259800000,126000000,0.47071414384417626,18612.77431951467
lls,mars_earth_m_scenario,62.3439136579982,257400000,257800000,400000,0.9981263216070742,2394.499294544991
fcp,mars_earth_l_scenario,205.55477554298704,230600000,448400000,217800000,0.9956273372631045,2928.8546605984584
random,mars_earth_l_scenario,275.674964529986,107800000,167200000,59400000,0.5257197188523012,20249.292357180635
alternating,mars_earth_l_scenario,225.8515205589938,146800000,345600000,198800000,0.2985410801126184,38682.3082194227
lls,mars_earth_l_scenario,297.84424130700063,343400000,343800000,400000,0.9925675693832362,3634.6691291674306
fcp,mars_earth_xl_scenario,947.2732516669785,399200000,932000000,532800000,0.999095295092804,2424.6521620257486
random,mars_earth_xl_scenario,1411.419709748996,140200000,320600000,77200000,0.34044229847223373,33078.77767138982
alternating,mars_earth_xl_scenario,1411.5392392029753,261200000,691200000,430000000,0.23482470627093852,44412.86695382515
lls,mars_earth_xl_scenario,1952.6015298529528,679800000,682600000,2800000,0.9874212508985366,3226.465065606682
