Algorithm,Scenario,Execution duration,Capacity,Wasted capacity,Wasted buffer capacity,Jain's fairness index,Scheduled delay
fcp,mars_earth_xs_scenario,0.08678263000911102,29400000,84600000,0,0.9998611882287618,4922.5093984962405
random,mars_earth_xs_scenario,0.046387961017899215,17800000,29400000,0,0.9396204033214709,29108.333333333332
alternating,mars_earth_xs_scenario,0.02152290497906506,34200000,52200000,18000000,0.8818252427184466,11340.119047619048
lls,mars_earth_xs_scenario,0.026169406017288566,42800000,43600000,800000,0.9986131540239546,12768.928571428572
fcp,mars_earth_s_scenario,1.0822250230121426,117400000,214000000,96600000,0.9991866172353364,1991.361013324114
random,mars_earth_s_scenario,1.2540635130135342,46300000,97800000,51500000,0.9427871877365632,5469.156537503819
alternating,mars_earth_s_scenario,0.8431433720397763,84400000,157200000,72800000,0.9271761315884259,3041.015225330607
lls,mars_earth_s_scenario,1.1281601859955117,170800000,173000000,1800000,0.9960533354731718,3336.5202425392636
fcp,mars_earth_m_scenario,44.27234943502117,207200000,304800000,97600000,0.9996625576750913,2094.9139487644916
random,mars_earth_m_scenario,55.942065128998365,85800000,120400000,34600000,0.7099946711804902,8808.287045812067
alternating,mars_earth_m_scenario,44.70722962502623,133800000,259800000,126000000,0.47071414384417626,18612.77431951467
lls,mars_earth_m_scenario,62.3439136579982,257400000,257800000,400000,0.9981263216070742,2394.499294544991
fcp,mars_earth_l_scenario,205.55477554298704,230600000,448400000,217800000,0.9956273372631045,2928.8546605984584
random,mars_earth_l_scenario,275.674964529986,107800000,167200000,59400000,0.5257197188523012,20249.292357180635
alternating,mars_earth_l_scenario,225.8515205589938,146800000,345600000,198800000,0.2985410801126184,38682.3082194227
lls,mars_earth_l_scenario,297.84424130700063,343400000,343800000,400000,0.9925675693832362,3634.6691291674306
fcp,mars_earth_xl_scenario,947.2732516669785,399200000,932000000,532800000,0.999095295092804,2424.6521620257486
random,mars_earth_xl_scenario,1411.419709748996,140200000,320600000,77200000,0.34044229847223373,33078.77767138982
alternating,mars_earth_xl_scenario,1411.5392392029753,261200000,691200000,430000000,0.23482470627093852,44412.86695382515
lls,mars_earth_xl_scenario,1952.6015298529528,679800000,682600000,2800000,0.9874212508985366,3226.465065606682
