#node_type,node_name,id,central_object,altitude,inclination,eccentricity,right_ascension_of_the_ascending_node,argument_of_perigee,mean_anomaly,rules
#Walker Delta 100 Sat Constellation
Orbiter,c1o1,1001,Earth,550.0,53.0,0.0,0.0,0.0,0.0,
Orbiter,c1o2,1002,Earth,550.0,53.0,0.0,0.0,0.0,36.0,
Orbiter,c1o3,1003,Earth,550.0,53.0,0.0,0.0,0.0,72.0,
Orbiter,c1o4,1004,Earth,550.0,53.0,0.0,0.0,0.0,108.0,
Orbiter,c1o5,1005,Earth,550.0,53.0,0.0,0.0,0.0,144.0,
Orbiter,c1o6,1006,Earth,550.0,53.0,0.0,0.0,0.0,180.0,
Orbiter,c1o7,1007,Earth,550.0,53.0,0.0,0.0,0.0,216.0,
Orbiter,c1o8,1008,Earth,550.0,53.0,0.0,0.0,0.0,252.0,
Orbiter,c1o9,1009,Earth,550.0,53.0,0.0,0.0,0.0,288.0,
Orbiter,c1o10,1010,Earth,550.0,53.0,0.0,0.0,0.0,324.0,
Orbiter,c1o11,1011,Earth,550.0,53.0,0.0,36.0,0.0,1.0,
Orbiter,c1o12,1012,Earth,550.0,53.0,0.0,36.0,0.0,37.0,
Orbiter,c1o13,1013,Earth,550.0,53.0,0.0,36.0,0.0,73.0,
Orbiter,c1o14,1014,Earth,550.0,53.0,0.0,36.0,0.0,109.0,
Orbiter,c1o15,1015,Earth,550.0,53.0,0.0,36.0,0.0,145.0,
Orbiter,c1o16,1016,Earth,550.0,53.0,0.0,36.0,0.0,181.0,
Orbiter,c1o17,1017,Earth,550.0,53.0,0.0,36.0,0.0,217.0,
Orbiter,c1o18,1018,Earth,550.0,53.0,0.0,36.0,0.0,253.0,
Orbiter,c1o19,1019,Earth,550.0,53.0,0.0,36.0,0.0,289.0,
Orbiter,c1o20,1020,Earth,550.0,53.0,0.0,36.0,0.0,325.0,
Orbiter,c1o21,1021,Earth,550.0,53.0,0.0,72.0,0.0,2.0,
Orbiter,c1o22,1022,Earth,550.0,53.0,0.0,72.0,0.0,38.0,
Orbiter,c1o23,1023,Earth,550.0,53.0,0.0,72.0,0.0,74.0,
Orbiter,c1o24,1024,Earth,550.0,53.0,0.0,72.0,0.0,110.0,
Orbiter,c1o25,1025,Earth,550.0,53.0,0.0,72.0,0.0,146.0,
Orbiter,c1o26,1026,Earth,550.0,53.0,0.0,72.0,0.0,182.0,
Orbiter,c1o27,1027,Earth,550.0,53.0,0.0,72.0,0.0,218.0,
Orbiter,c1o28,1028,Earth,550.0,53.0,0.0,72.0,0.0,254.0,
Orbiter,c1o29,1029,Earth,550.0,53.0,0.0,72.0,0.0,290.0,
Orbiter,c1o30,1030,Earth,550.0,53.0,0.0,72.0,0.0,326.0,
Orbiter,c1o31,1031,Earth,550.0,53.0,0.0,108.0,0.0,3.0,
Orbiter,c1o32,1032,Earth,550.0,53.0,0.0,108.0,0.0,39.0,
Orbiter,c1o33,1033,Earth,550.0,53.0,0.0,108.0,0.0,75.0,
Orbiter,c1o34,1034,Earth,550.0,53.0,0.0,108.0,0.0,111.0,
Orbiter,c1o35,1035,Earth,550.0,53.0,0.0,108.0,0.0,147.0,
Orbiter,c1o36,1036,Earth,550.0,53.0,0.0,108.0,0.0,183.0,
Orbiter,c1o37,1037,Earth,550.0,53.0,0.0,108.0,0.0,219.0,
Orbiter,c1o38,1038,Earth,550.0,53.0,0.0,108.0,0.0,255.0,
Orbiter,c1o39,1039,Earth,550.0,53.0,0.0,108.0,0.0,291.0,
Orbiter,c1o40,1040,Earth,550.0,53.0,0.0,108.0,0.0,327.0,
Orbiter,c1o41,1041,Earth,550.0,53.0,0.0,144.0,0.0,4.0,
Orbiter,c1o42,1042,Earth,550.0,53.0,0.0,144.0,0.0,40.0,
Orbiter,c1o43,1043,Earth,550.0,53.0,0.0,144.0,0.0,76.0,
Orbiter,c1o44,1044,Earth,550.0,53.0,0.0,144.0,0.0,112.0,
Orbiter,c1o45,1045,Earth,550.0,53.0,0.0,144.0,0.0,148.0,
Orbiter,c1o46,1046,Earth,550.0,53.0,0.0,144.0,0.0,184.0,
Orbiter,c1o47,1047,Earth,550.0,53.0,0.0,144.0,0.0,220.0,
Orbiter,c1o48,1048,Earth,550.0,53.0,0.0,144.0,0.0,256.0,
Orbiter,c1o49,1049,Earth,550.0,53.0,0.0,144.0,0.0,292.0,
Orbiter,c1o50,1050,Earth,550.0,53.0,0.0,144.0,0.0,328.0,
Orbiter,c1o51,1051,Earth,550.0,53.0,0.0,180.0,0.0,5.0,
Orbiter,c1o52,1052,Earth,550.0,53.0,0.0,180.0,0.0,41.0,
Orbiter,c1o53,1053,Earth,550.0,53.0,0.0,180.0,0.0,77.0,
Orbiter,c1o54,1054,Earth,550.0,53.0,0.0,180.0,0.0,113.0,
Orbiter,c1o55,1055,Earth,550.0,53.0,0.0,180.0,0.0,149.0,
Orbiter,c1o56,1056,Earth,550.0,53.0,0.0,180.0,0.0,185.0,
Orbiter,c1o57,1057,Earth,550.0,53.0,0.0,180.0,0.0,221.0,
Orbiter,c1o58,1058,Earth,550.0,53.0,0.0,180.0,0.0,257.0,
Orbiter,c1o59,1059,Earth,550.0,53.0,0.0,180.0,0.0,293.0,
Orbiter,c1o60,1060,Earth,550.0,53.0,0.0,180.0,0.0,329.0,
Orbiter,c1o61,1061,Earth,550.0,53.0,0.0,216.0,0.0,6.0,
Orbiter,c1o62,1062,Earth,550.0,53.0,0.0,216.0,0.0,42.0,
Orbiter,c1o63,1063,Earth,550.0,53.0,0.0,216.0,0.0,78.0,
Orbiter,c1o64,1064,Earth,550.0,53.0,0.0,216.0,0.0,114.0,
Orbiter,c1o65,1065,Earth,550.0,53.0,0.0,216.0,0.0,150.0,
Orbiter,c1o66,1066,Earth,550.0,53.0,0.0,216.0,0.0,186.0,
Orbiter,c1o67,1067,Earth,550.0,53.0,0.0,216.0,0.0,222.0,
Orbiter,c1o68,1068,Earth,550.0,53.0,0.0,216.0,0.0,258.0,
Orbiter,c1o69,1069,Earth,550.0,53.0,0.0,216.0,0.0,294.0,
Orbiter,c1o70,1070,Earth,550.0,53.0,0.0,216.0,0.0,330.0,
Orbiter,c1o71,1071,Earth,550.0,53.0,0.0,252.0,0.0,7.0,
Orbiter,c1o72,1072,Earth,550.0,53.0,0.0,252.0,0.0,43.0,
Orbiter,c1o73,1073,Earth,550.0,53.0,0.0,252.0,0.0,79.0,
Orbiter,c1o74,1074,Earth,550.0,53.0,0.0,252.0,0.0,115.0,
Orbiter,c1o75,1075,Earth,550.0,53.0,0.0,252.0,0.0,151.0,
Orbiter,c1o76,1076,Earth,550.0,53.0,0.0,252.0,0.0,187.0,
Orbiter,c1o77,1077,Earth,550.0,53.0,0.0,252.0,0.0,223.0,
Orbiter,c1o78,1078,Earth,550.0,53.0,0.0,252.0,0.0,259.0,
Orbiter,c1o79,1079,Earth,550.0,53.0,0.0,252.0,0.0,295.0,
Orbiter,c1o80,1080,Earth,550.0,53.0,0.0,252.0,0.0,331.0,
Orbiter,c1o81,1081,Earth,550.0,53.0,0.0,288.0,0.0,8.0,
Orbiter,c1o82,1082,Earth,550.0,53.0,0.0,288.0,0.0,44.0,
Orbiter,c1o83,1083,Earth,550.0,53.0,0.0,288.0,0.0,80.0,
Orbiter,c1o84,1084,Earth,550.0,53.0,0.0,288.0,0.0,116.0,
Orbiter,c1o85,1085,Earth,550.0,53.0,0.0,288.0,0.0,152.0,
Orbiter,c1o86,1086,Earth,550.0,53.0,0.0,288.0,0.0,188.0,
Orbiter,c1o87,1087,Earth,550.0,53.0,0.0,288.0,0.0,224.0,
Orbiter,c1o88,1088,Earth,550.0,53.0,0.0,288.0,0.0,260.0,
Orbiter,c1o89,1089,Earth,550.0,53.0,0.0,288.0,0.0,296.0,
Orbiter,c1o90,1090,Earth,550.0,53.0,0.0,288.0,0.0,332.0,
Orbiter,c1o91,1091,Earth,550.0,53.0,0.0,324.0,0.0,9.0,
Orbiter,c1o92,1092,Earth,550.0,53.0,0.0,324.0,0.0,45.0,
Orbiter,c1o93,1093,Earth,550.0,53.0,0.0,324.0,0.0,81.0,
Orbiter,c1o94,1094,Earth,550.0,53.0,0.0,324.0,0.0,117.0,
Orbiter,c1o95,1095,Earth,550.0,53.0,0.0,324.0,0.0,153.0,
Orbiter,c1o96,1096,Earth,550.0,53.0,0.0,324.0,0.0,189.0,
Orbiter,c1o97,1097,Earth,550.0,53.0,0.0,324.0,0.0,225.0,
Orbiter,c1o98,1098,Earth,550.0,53.0,0.0,324.0,0.0,261.0,
Orbiter,c1o99,1099,Earth,550.0,53.0,0.0,324.0,0.0,297.0,
Orbiter,c1o100,1100,Earth,550.0,53.0,0.0,324.0,0.0,333.0,
#node_type,node_name,id,central_object,latitude,longitude,altitude,rules
#OGS site 1
Lander,gs1,9001,Earth,35.426667,-116.89,100.0,
Lander,gs2,9002,Earth,35.426667,-116.89,100.0,
#OGS site 2
Lander,gs3,9003,Earth,40.431389,-4.248056,100.0,
#OGS site 3
Lander,gs4,9004,Earth,-35.401389,148.981667,100.0,
